web-scraper-order,web-scraper-start-url,cited_links,cited_links-href,cited_paper_doi,cited_paper_doi-href
"1571854061-11008","https://doi.org/10.1109/TSC.2012.2","View Article","https://ieeexplore.ieee.org/document/6297100","10.1109/ICCISci.2012.6297100","https://doi.org/10.1109/ICCISci.2012.6297100"
"1571853985-10999","https://doi.org/10.1109/TSC.2012.2","View Article","https://ieeexplore.ieee.org/document/6280292","10.1109/ISPA.2012.33","https://doi.org/10.1109/ISPA.2012.33"
"1571856735-11612","https://doi.org/10.1109/TSC.2010.4","View Article","https://ieeexplore.ieee.org/document/6468225","10.1109/ICEBE.2012.26","https://doi.org/10.1109/ICEBE.2012.26"
"1571855831-11394","https://doi.org/10.1109/TSC.2011.19","View Article","https://ieeexplore.ieee.org/document/7537054","10.1109/ICUFN.2016.7537054","https://doi.org/10.1109/ICUFN.2016.7537054"
"1571845000-10058","https://doi.org/10.1109/TSC.2008.17","View Article","https://ieeexplore.ieee.org/document/5707144","10.1109/SOCA.2010.5707144","https://doi.org/10.1109/SOCA.2010.5707144"
"1571892289-14695","https://doi.org/10.1109/SCC.2010.41","View Article","https://ieeexplore.ieee.org/document/6924464","10.1109/APCASE.2014.6924464","https://doi.org/10.1109/APCASE.2014.6924464"
"1571807671-4152","https://doi.org/10.1109/TSC.2009.12","View Article","https://ieeexplore.ieee.org/document/5630171","10.1109/SASO.2010.23","https://doi.org/10.1109/SASO.2010.23"
"1571814439-5058","https://doi.org/10.1109/TSC.2013.55","View Article","https://ieeexplore.ieee.org/document/8382183","10.1109/LWC.2018.2846621","https://doi.org/10.1109/LWC.2018.2846621"
"1571868954-12760","https://doi.org/10.1109/SCC.2005.92","View Article","https://ieeexplore.ieee.org/document/4285223","10.1109/CEC-EEE.2007.11","https://doi.org/10.1109/CEC-EEE.2007.11"
"1571892562-14721","https://doi.org/10.1109/SCC.2013.30","View Article","https://ieeexplore.ieee.org/document/7832889","10.1109/MSR.2016.018","https://doi.org/10.1109/MSR.2016.018"
"1571792852-314","https://doi.org/10.1109/TSC.2014.2361320","View Article","https://ieeexplore.ieee.org/document/7828541","10.1109/HPCC-SmartCity-DSS.2016.0200","https://doi.org/10.1109/HPCC-SmartCity-DSS.2016.0200"
"1571818471-5821","https://doi.org/10.1109/TSC.2013.28","View Article","https://ieeexplore.ieee.org/document/7946604","10.1109/CCECE.2017.7946604","https://doi.org/10.1109/CCECE.2017.7946604"
"1571872395-13048","https://doi.org/10.1109/SCC.2004.1357991","View Article","https://ieeexplore.ieee.org/document/1531262","10.1109/SCC.2005.100","https://doi.org/10.1109/SCC.2005.100"
"1571841033-9688","https://doi.org/10.1109/TSC.2008.8","View Article","https://ieeexplore.ieee.org/document/5719596","10.1109/TSC.2011.11","https://doi.org/10.1109/TSC.2011.11"
"1571852394-10838","https://doi.org/10.1109/TSC.2016.2596289","View Article","https://ieeexplore.ieee.org/document/8477708","10.1109/CEC.2018.8477708","https://doi.org/10.1109/CEC.2018.8477708"
"1571818615-5850","https://doi.org/10.1109/TSC.2011.34","View Article","https://ieeexplore.ieee.org/document/7095599","10.1109/TKDE.2015.2426713","https://doi.org/10.1109/TKDE.2015.2426713"
"1571802205-2868","https://doi.org/10.1109/TSC.2011.32","View Article","https://ieeexplore.ieee.org/document/8082679","10.1109/CICN.2016.88","https://doi.org/10.1109/CICN.2016.88"
"1571880712-13737","https://doi.org/10.1109/SCC.2004.1358011","View Article","https://ieeexplore.ieee.org/document/4124119","10.1109/ICMB.2006.42","https://doi.org/10.1109/ICMB.2006.42"
"1571799073-2091","https://doi.org/10.1109/TSC.2015.2439695","View Article","https://ieeexplore.ieee.org/document/8478319","10.1109/ACCESS.2018.2873087","https://doi.org/10.1109/ACCESS.2018.2873087"
"1571853339-10938","https://doi.org/10.1109/TSC.2011.24","View Article","https://ieeexplore.ieee.org/document/7502279","10.1109/BigDataSecurity-HPSC-IDS.2016.68","https://doi.org/10.1109/BigDataSecurity-HPSC-IDS.2016.68"
"1571818264-5778","https://doi.org/10.1109/TSC.2016.2565470","View Article","https://ieeexplore.ieee.org/document/8107535","10.1109/TNET.2017.2765246","https://doi.org/10.1109/TNET.2017.2765246"
"1571857945-11723","https://doi.org/10.1109/TSC.2011.11","View Article","https://ieeexplore.ieee.org/document/8123774","10.1109/ICCNI.2017.8123774","https://doi.org/10.1109/ICCNI.2017.8123774"
"1571851769-10763","https://doi.org/10.1109/TSC.2012.14","View Article","https://ieeexplore.ieee.org/document/7363265","10.1109/CIT/IUCC/DASC/PICOM.2015.220","https://doi.org/10.1109/CIT/IUCC/DASC/PICOM.2015.220"
"1571850153-10605","https://doi.org/10.1109/TSC.2012.34","View Article","https://ieeexplore.ieee.org/document/8023699","10.1109/DSN-W.2017.26","https://doi.org/10.1109/DSN-W.2017.26"
"1571829932-7831","https://doi.org/10.1109/TSC.2013.5","View Article","https://ieeexplore.ieee.org/document/6759076","10.1109/HICSS.2014.474","https://doi.org/10.1109/HICSS.2014.474"
"1571832174-8244","https://doi.org/10.1109/TSC.2010.5","View Article","https://ieeexplore.ieee.org/document/7266985","10.1109/ICAC.2015.60","https://doi.org/10.1109/ICAC.2015.60"
"1571804460-3494","https://doi.org/10.1109/TSC.2015.2390413","View Article","https://ieeexplore.ieee.org/document/7830703","10.1109/CloudCom.2016.0062","https://doi.org/10.1109/CloudCom.2016.0062"
"1571832228-8255","https://doi.org/10.1109/TSC.2010.5","View Article","https://ieeexplore.ieee.org/document/7876338","10.1109/CIT.2016.73","https://doi.org/10.1109/CIT.2016.73"
"1571873112-13107","https://doi.org/10.1109/SCC.2011.26","View Article","https://ieeexplore.ieee.org/document/6412107","10.1109/FPT.2012.6412107","https://doi.org/10.1109/FPT.2012.6412107"
"1571816420-5440","https://doi.org/10.1109/TSC.2008.15","View Article","https://ieeexplore.ieee.org/document/6483690","10.1109/CloudNet.2012.6483690","https://doi.org/10.1109/CloudNet.2012.6483690"
"1571835744-8886","https://doi.org/10.1109/TSC.2011.13","View Article","https://ieeexplore.ieee.org/document/6930592","10.1109/SCC.2014.91","https://doi.org/10.1109/SCC.2014.91"
"1571876844-13389","https://doi.org/10.1109/SCC.2010.83","View Article","https://ieeexplore.ieee.org/document/6168325","10.1109/ACCT.2012.115","https://doi.org/10.1109/ACCT.2012.115"
"1571834666-8681","https://doi.org/10.1109/TSC.2013.37","View Article","https://ieeexplore.ieee.org/document/7593381","10.1109/TSC.2016.2614297","https://doi.org/10.1109/TSC.2016.2614297"
"1571855643-11337","https://doi.org/10.1109/TSC.2014.2355229","View Article","https://ieeexplore.ieee.org/document/8587249","10.1109/ACCESS.2018.2889296","https://doi.org/10.1109/ACCESS.2018.2889296"
"1571824755-6921","https://doi.org/10.1109/TSC.2010.39","View Article","https://ieeexplore.ieee.org/document/8740389","10.1109/ITOEC.2018.8740389","https://doi.org/10.1109/ITOEC.2018.8740389"
"1571826098-7157","https://doi.org/10.1109/TSC.2009.20","View Article","https://ieeexplore.ieee.org/document/7140782","10.1109/TETC.2015.2449662","https://doi.org/10.1109/TETC.2015.2449662"
"1571845803-10141","https://doi.org/10.1109/TSC.2011.35","View Article","https://ieeexplore.ieee.org/document/8034976","10.1109/SCC.2017.23","https://doi.org/10.1109/SCC.2017.23"
"1571811576-4416","https://doi.org/10.1109/TSC.2010.57","View Article","https://ieeexplore.ieee.org/document/6542627","10.1109/TSC.2013.36","https://doi.org/10.1109/TSC.2013.36"
"1571891826-14654","https://doi.org/10.1109/SCC.2009.43","View Article","https://ieeexplore.ieee.org/document/8814225","10.1109/SCC.2019.00031","https://doi.org/10.1109/SCC.2019.00031"
"1571878623-13559","https://doi.org/10.1109/SCC.2008.53","View Article","https://ieeexplore.ieee.org/document/6133171","10.1109/CloudCom.2011.62","https://doi.org/10.1109/CloudCom.2011.62"
"1571874618-13195","https://doi.org/10.1109/SCC.2014.17","View Article","https://ieeexplore.ieee.org/document/7027505","10.1109/UCC.2014.38","https://doi.org/10.1109/UCC.2014.38"
"1571818850-5892","https://doi.org/10.1109/TSC.2010.54","View Article","https://ieeexplore.ieee.org/document/6927571","10.1109/WI-IAT.2014.62","https://doi.org/10.1109/WI-IAT.2014.62"
"1571850077-10598","https://doi.org/10.1109/TSC.2012.34","View Article","https://ieeexplore.ieee.org/document/8057117","10.1109/INFOCOM.2017.8057117","https://doi.org/10.1109/INFOCOM.2017.8057117"
"1571872961-13091","https://doi.org/10.1109/SCC.2011.26","View Article","https://ieeexplore.ieee.org/document/7027199","10.1109/TVLSI.2015.2389893","https://doi.org/10.1109/TVLSI.2015.2389893"
"1571847171-10282","https://doi.org/10.1109/TSC.2016.2598335","View Article","https://ieeexplore.ieee.org/document/8029752","10.1109/ICWS.2017.23","https://doi.org/10.1109/ICWS.2017.23"
"1571805014-3632","https://doi.org/10.1109/TSC.2010.7","View Article","https://ieeexplore.ieee.org/document/6104594","10.1109/ICEBE.2011.16","https://doi.org/10.1109/ICEBE.2011.16"
"1571814870-5147","https://doi.org/10.1109/TSC.2013.19","View Article","https://ieeexplore.ieee.org/document/7558046","10.1109/ICWS.2016.76","https://doi.org/10.1109/ICWS.2016.76"
"1571842576-9841","https://doi.org/10.1109/TSC.2016.2543719","View Article","https://ieeexplore.ieee.org/document/8647858","10.1109/GLOCOM.2018.8647858","https://doi.org/10.1109/GLOCOM.2018.8647858"
"1571858711-11792","https://doi.org/10.1109/TSC.2015.2390231","View Article","https://ieeexplore.ieee.org/document/8472101","10.1109/INDIN.2018.8472101","https://doi.org/10.1109/INDIN.2018.8472101"
"1571833520-8462","https://doi.org/10.1109/TSC.2016.2597141","View Article","https://ieeexplore.ieee.org/document/8635929","10.1109/ALLERTON.2018.8635929","https://doi.org/10.1109/ALLERTON.2018.8635929"
"1571868152-12688","https://doi.org/10.1109/SCC.2004.1357987","View Article","https://ieeexplore.ieee.org/document/5552804","10.1109/ICWS.2010.37","https://doi.org/10.1109/ICWS.2010.37"
"1571858900-11810","https://doi.org/10.1109/TSC.2011.6","View Article","https://ieeexplore.ieee.org/document/6804987","10.1109/ISCID.2013.74","https://doi.org/10.1109/ISCID.2013.74"
"1571860524-11985","https://doi.org/10.1109/TSC.2013.2","View Article","https://ieeexplore.ieee.org/document/7195548","10.1109/ICWS.2015.14","https://doi.org/10.1109/ICWS.2015.14"
"1571795242-1015","https://doi.org/10.1109/TSC.2009.22","View Article","https://ieeexplore.ieee.org/document/8029763","10.1109/ICWS.2017.34","https://doi.org/10.1109/ICWS.2017.34"
"1571892414-14706","https://doi.org/10.1109/SCC.2004.1358006","View Article","https://ieeexplore.ieee.org/document/4279631","10.1109/ICWS.2007.93","https://doi.org/10.1109/ICWS.2007.93"
"1571868685-12734","https://doi.org/10.1109/SCC.2005.54","View Article","https://ieeexplore.ieee.org/document/4230944","10.1109/AICCSA.2007.370869","https://doi.org/10.1109/AICCSA.2007.370869"
"1571799286-2171","https://doi.org/10.1109/TSC.2012.39","View Article","https://ieeexplore.ieee.org/document/7331652","10.1109/TSC.2015.2501981","https://doi.org/10.1109/TSC.2015.2501981"
"1571797284-1526","https://doi.org/10.1109/TSC.2014.2365797","View Article","https://ieeexplore.ieee.org/document/8101911","10.1109/ITECHA.2017.8101911","https://doi.org/10.1109/ITECHA.2017.8101911"
"1571879390-13633","https://doi.org/10.1109/SCC.2008.112","View Article","https://ieeexplore.ieee.org/document/5893861","10.1109/INNOVATIONS.2011.5893861","https://doi.org/10.1109/INNOVATIONS.2011.5893861"
"1571811807-4472","https://doi.org/10.1109/TSC.2014.2302810","View Article","https://ieeexplore.ieee.org/document/7364239","10.1109/TCC.2015.2511760","https://doi.org/10.1109/TCC.2015.2511760"
"1571816899-5535","https://doi.org/10.1109/TSC.2013.2295611","View Article","https://ieeexplore.ieee.org/document/7855621","10.1109/MSP.2017.16","https://doi.org/10.1109/MSP.2017.16"
"1571864524-12373","https://doi.org/10.1109/TSC.2016.2540630","View Article","https://ieeexplore.ieee.org/document/8003798","10.1109/WETICE.2017.46","https://doi.org/10.1109/WETICE.2017.46"
"1571832627-8319","https://doi.org/10.1109/TSC.2010.29","View Article","https://ieeexplore.ieee.org/document/6598464","10.1109/SNPD.2013.28","https://doi.org/10.1109/SNPD.2013.28"
"1571827297-7371","https://doi.org/10.1109/TSC.2014.1","View Article","https://ieeexplore.ieee.org/document/8063945","10.1109/TII.2017.2761806","https://doi.org/10.1109/TII.2017.2761806"
"1571883638-13959","https://doi.org/10.1109/SCC.2006.59","View Article","https://ieeexplore.ieee.org/document/4815034","10.1109/EDOCW.2008.48","https://doi.org/10.1109/EDOCW.2008.48"
"1571878528-13547","https://doi.org/10.1109/SCC.2008.53","View Article","https://ieeexplore.ieee.org/document/6714436","10.1109/TCC.2014.2300855","https://doi.org/10.1109/TCC.2014.2300855"
"1571838508-9343","https://doi.org/10.1109/TSC.2009.18","View Article","https://ieeexplore.ieee.org/document/7915730","10.1109/TII.2017.2689337","https://doi.org/10.1109/TII.2017.2689337"
"1571821197-6324","https://doi.org/10.1109/TSC.2008.1","View Article","https://ieeexplore.ieee.org/document/6009452","10.1109/ICWS.2011.63","https://doi.org/10.1109/ICWS.2011.63"
"1571847847-10354","https://doi.org/10.1109/TSC.2014.2379251","View Article","https://ieeexplore.ieee.org/document/7557981","10.1109/ICWS.2016.13","https://doi.org/10.1109/ICWS.2016.13"
"1571840346-9634","https://doi.org/10.1109/TSC.2011.29","View Article","https://ieeexplore.ieee.org/document/8457176","10.1109/JCSSE.2018.8457176","https://doi.org/10.1109/JCSSE.2018.8457176"
"1571814998-5166","https://doi.org/10.1109/TSC.2013.26","View Article","https://ieeexplore.ieee.org/document/8241218","10.1109/ICISE.2017.12","https://doi.org/10.1109/ICISE.2017.12"
"1571796742-1368","https://doi.org/10.1109/TSC.2010.25","View Article","https://ieeexplore.ieee.org/document/7780311","10.1109/CBI.2016.26","https://doi.org/10.1109/CBI.2016.26"
"1571852440-10853","https://doi.org/10.1109/TSC.2014.2310221","View Article","https://ieeexplore.ieee.org/document/8688018","10.1109/ICGS3.2019.8688018","https://doi.org/10.1109/ICGS3.2019.8688018"
"1571856562-11592","https://doi.org/10.1109/TSC.2010.4","View Article","https://ieeexplore.ieee.org/document/6269696","10.1109/WETICE.2012.19","https://doi.org/10.1109/WETICE.2012.19"
"1571814142-4987","https://doi.org/10.1109/TSC.2015.2502595","View Article","https://ieeexplore.ieee.org/document/8325321","10.1109/TSE.2018.2819180","https://doi.org/10.1109/TSE.2018.2819180"
"1571866129-12529","https://doi.org/10.1109/SCC.2007.128","View Article","https://ieeexplore.ieee.org/document/4711654","10.1109/ECOWS.2008.32","https://doi.org/10.1109/ECOWS.2008.32"
"1571853900-10989","https://doi.org/10.1109/TSC.2012.2","View Article","https://ieeexplore.ieee.org/document/7557467","10.1109/SCC.2016.47","https://doi.org/10.1109/SCC.2016.47"
"1571885222-14098","https://doi.org/10.1109/SCC.2007.22","View Article","https://ieeexplore.ieee.org/document/4578531","10.1109/SCC.2008.41","https://doi.org/10.1109/SCC.2008.41"
"1571826141-7165","https://doi.org/10.1109/TSC.2009.20","View Article","https://ieeexplore.ieee.org/document/7437708","10.1109/ICITSI.2015.7437708","https://doi.org/10.1109/ICITSI.2015.7437708"
"1571876358-13349","https://doi.org/10.1109/SCC.2016.89","View Article","https://ieeexplore.ieee.org/document/8627298","10.1109/INDUSCON.2018.8627298","https://doi.org/10.1109/INDUSCON.2018.8627298"
"1571886269-14179","https://doi.org/10.1109/SCC.2005.105","View Article","https://ieeexplore.ieee.org/document/4700394","10.1109/NWeSP.2008.26","https://doi.org/10.1109/NWeSP.2008.26"
"1571812243-4574","https://doi.org/10.1109/TSC.2012.33","View Article","https://ieeexplore.ieee.org/document/6807777","10.1109/TPDS.2014.2320748","https://doi.org/10.1109/TPDS.2014.2320748"
"1571883180-13928","https://doi.org/10.1109/SCC.2009.33","View Article","https://ieeexplore.ieee.org/document/6755329","10.1109/CSE.2013.148","https://doi.org/10.1109/CSE.2013.148"
"1571820906-6270","https://doi.org/10.1109/TSC.2010.40","View Article","https://ieeexplore.ieee.org/document/6529241","10.1109/NetSys.2013.18","https://doi.org/10.1109/NetSys.2013.18"
"1571890175-14485","https://doi.org/10.1109/SCC.2012.110","View Article","https://ieeexplore.ieee.org/document/6649760","10.1109/SCC.2013.113","https://doi.org/10.1109/SCC.2013.113"
"1571884637-14051","https://doi.org/10.1109/SCC.2015.76","View Article","https://ieeexplore.ieee.org/document/8120967","10.1109/SOLI.2017.8120967","https://doi.org/10.1109/SOLI.2017.8120967"
"1571835485-8842","https://doi.org/10.1109/TSC.2014.2304717","View Article","https://ieeexplore.ieee.org/document/7433417","10.1109/TIFS.2016.2541633","https://doi.org/10.1109/TIFS.2016.2541633"
"1571893183-14779","https://doi.org/10.1109/SCC.2006.110","View Article","https://ieeexplore.ieee.org/document/6163578","10.1109/MCOM.2012.6163578","https://doi.org/10.1109/MCOM.2012.6163578"
"1571841848-9769","https://doi.org/10.1109/TSC.2010.56","View Article","https://ieeexplore.ieee.org/document/7377308","10.1109/ISACC.2015.7377308","https://doi.org/10.1109/ISACC.2015.7377308"
"1571829619-7776","https://doi.org/10.1109/TSC.2017.2662008","View Article","https://ieeexplore.ieee.org/document/8114564","10.1109/MCOM.2017.1700120","https://doi.org/10.1109/MCOM.2017.1700120"
"1571801059-2579","https://doi.org/10.1109/TSC.2011.48","View Article","https://ieeexplore.ieee.org/document/7334119","10.1109/ICIEA.2015.7334119","https://doi.org/10.1109/ICIEA.2015.7334119"
"1571861610-12105","https://doi.org/10.1109/TSC.2015.2511002","View Article","https://ieeexplore.ieee.org/document/8765699","10.1109/ACCESS.2019.2929683","https://doi.org/10.1109/ACCESS.2019.2929683"
"1571857931-11721","https://doi.org/10.1109/TSC.2011.11","View Article","https://ieeexplore.ieee.org/document/6885448","10.1109/MEC.2013.6885448","https://doi.org/10.1109/MEC.2013.6885448"
"1571892576-14723","https://doi.org/10.1109/SCC.2013.30","View Article","https://ieeexplore.ieee.org/document/7207355","10.1109/SCC.2015.37","https://doi.org/10.1109/SCC.2015.37"
"1571821352-6351","https://doi.org/10.1109/TSC.2008.1","View Article","https://ieeexplore.ieee.org/document/5692502","10.1109/CSE.2010.71","https://doi.org/10.1109/CSE.2010.71"
"1571840933-9682","https://doi.org/10.1109/TSC.2015.2511008","View Article","https://ieeexplore.ieee.org/document/7457608","10.1109/JIOT.2016.2557487","https://doi.org/10.1109/JIOT.2016.2557487"
"1571865007-12417","https://doi.org/10.1109/TSC.2011.61","View Article","https://ieeexplore.ieee.org/document/7802637","10.1109/ACCESS.2016.2633288","https://doi.org/10.1109/ACCESS.2016.2633288"
"1571795733-1136","https://doi.org/10.1109/TSC.2010.19","View Article","https://ieeexplore.ieee.org/document/6427189","10.1109/CLEI.2012.6427189","https://doi.org/10.1109/CLEI.2012.6427189"
"1571822104-6481","https://doi.org/10.1109/TSC.2010.42","View Article","https://ieeexplore.ieee.org/document/6616888","10.1109/IFOST.2013.6616888","https://doi.org/10.1109/IFOST.2013.6616888"
"1571798121-1803","https://doi.org/10.1109/TSC.2012.35","View Article","https://ieeexplore.ieee.org/document/8653783","10.1109/I-SMAC.2018.8653783","https://doi.org/10.1109/I-SMAC.2018.8653783"
"1571849195-10513","https://doi.org/10.1109/TSC.2010.1","View Article","https://ieeexplore.ieee.org/document/7195610","10.1109/ICWS.2015.75","https://doi.org/10.1109/ICWS.2015.75"
"1571856202-11532","https://doi.org/10.1109/TSC.2014.2312940","View Article","https://ieeexplore.ieee.org/document/7751179","10.1109/NETWKS.2016.7751179","https://doi.org/10.1109/NETWKS.2016.7751179"
"1571887552-14286","https://doi.org/10.1109/SCC.2011.122","View Article","https://ieeexplore.ieee.org/document/6363386","10.1109/SCCC.2011.12","https://doi.org/10.1109/SCCC.2011.12"
"1571876386-13352","https://doi.org/10.1109/SCC.2016.89","View Article","https://ieeexplore.ieee.org/document/8115807","10.1109/WiMOB.2017.8115807","https://doi.org/10.1109/WiMOB.2017.8115807"
