web-scraper-order,web-scraper-start-url,authors,authors-href,affiliation,topics
"1571851784-10765","https://doi.org/10.1109/SCC.2013.41","John McAvoy","https://ieeexplore.ieee.org/author/38235425900","Cybula Ltd., York, UK","service-oriented architecture,"
"1571845970-10162","https://doi.org/10.1109/SCC.2014.46","Julio C. Estrella","https://ieeexplore.ieee.org/author/37974741600","University of São Paulo","cloud computing,"
"1571879505-13641","https://doi.org/10.1109/ICWS.2015.38","Wei Zhang","https://ieeexplore.ieee.org/author/37085367453","null","Web services,"
"1571801435-2660","https://doi.org/10.1109/TSC.2014.2304729","Junfeng Zhao","https://ieeexplore.ieee.org/author/37598309000","Key Laboratory of High Confidence Software Technologies","text analysis,"
"1571842678-9851","https://doi.org/10.1109/SCC.2016.100","Chithralekha Balamurugan","https://ieeexplore.ieee.org/author/37085562751","Xerox Res. Centre India, Bangalore, India","Web services,"
"1571822939-6628","https://doi.org/10.1109/SCC.2017.40","Naghmeh Ivaki","https://ieeexplore.ieee.org/author/38541195700","CISUC","security of data,"
"1571878093-13512","https://doi.org/10.1109/ICWS.2007.73","Il-Woong Kim","https://ieeexplore.ieee.org/author/37577691500","Dept. of Comput. Sci.","Unified Modeling Language,"
"1571807872-4201","https://doi.org/10.1109/TSC.2012.1","Jaesun Han","https://ieeexplore.ieee.org/author/37535079700","NexR Corporation, Seoul","Internet,"
"1571860424-11966","https://doi.org/10.1109/SCC.2012.13","Mingyu Gao","https://ieeexplore.ieee.org/author/38468467200","Dept. of Comput. Sci., Auckland Univ., New Zealand","authorisation,"
"1571858923-11813","https://doi.org/10.1109/SCC.2016.81","Wenrui Li","https://ieeexplore.ieee.org/author/37085861457","Sch. of Math. & Inf. Technol.","quality of service,"
"1571879894-13669","https://doi.org/10.1109/ICWS.2017.76","Feng Sun","https://ieeexplore.ieee.org/author/37086055531","null","Boltzmann machines,"
"1571829011-7673","https://doi.org/10.1109/SCC.2006.70","Timo Burns","https://ieeexplore.ieee.org/author/37086735160","Opera Software, USA","Web services,"
"1571860364-11954","https://doi.org/10.1109/SCC.2005.79","F.R. Reiss","https://ieeexplore.ieee.org/author/37426627900","IBM Research Almaden, USA","text analysis,"
"1571802568-2967","https://doi.org/10.1109/TSC.2010.29","Sabrina De Capitani di Vimercati","https://ieeexplore.ieee.org/author/37271668700","Dipartimento di Informatica","authorisation,"
"1571798569-1962","https://doi.org/10.1109/TSC.2014.2331683","Lijun Mei","https://ieeexplore.ieee.org/author/37305814400","IBM Res. - China, Beijing, China","mobile computing,"
"1571852050-10792","https://doi.org/10.1109/SCC.2014.87","Albert Royo Manjón","https://ieeexplore.ieee.org/author/37085439295","LCIS (CTSYS Res. Group)","Java,"
"1571881120-13768","https://doi.org/10.1109/ICWS.2013.35","Li Wei Shen","https://ieeexplore.ieee.org/author/37826643000","Software School","contracts,"
"1571866415-12552","https://doi.org/10.1109/SCC.2004.1358030","L. Ke","https://ieeexplore.ieee.org/author/37265219000","Graduate Sch. of Bus., Nihon Univ., Japan","electronic commerce,"
"1571806343-3969","https://doi.org/10.1109/TSC.2014.2355201","Yi Mu","https://ieeexplore.ieee.org/author/37369535100","Fujian Provincial Key Laboratory of Network Security and Cryptology","authorisation,"
"1571856685-11606","https://doi.org/10.1109/SCC.2011.58","Anne-Francoise Le Meur","https://ieeexplore.ieee.org/author/37279933100","Lab. LIFL","formal specification,"
"1571831000-8029","https://doi.org/10.1109/SCC.2012.7","Stéphanie Chollet","https://ieeexplore.ieee.org/author/37892363300","Univ. Grenoble Alpes, Grenoble INP, LCIS","ubiquitous computing,"
"1571811854-4481","https://doi.org/10.1109/TSC.2011.23","Jon B. Weissman","https://ieeexplore.ieee.org/author/37281821200","Department of Computer Science and Engineering","cloud computing,"
"1571827199-7354","https://doi.org/10.1109/SCC.2006.116","Werner Vogels","https://ieeexplore.ieee.org/author/37267638600","Amazon.com","Internet,"
